Comparison Of Encapsolation Energies,Energy of Optimized Geometry of N2@C60,,Energy of Optimized Geometry of C60,,Energy of Optimized Geometry of N2,,Encapsolation Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method used,Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV (Hartree),6-31G** (Hartree),Def2TZV  (kcal/mol),6-31G** (kcal/mol),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 75 Degrees (Hartree),-2395.622135286070,-2395.953058277550,-2396.088454952300,-2396.120759967600,-2396.100570617160,-2396.055791033790,-2396.001625864000,-2395.946016528870,-2395.892803745930,-2395.778557629620,-2395.691891421350,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 90 Degrees (Hartree),-2395.6221245600400,-2395.9530454516500,-2396.0884381307600,-2396.1207349214600,-2396.1005286896700,-2396.0557173434500,-2396.0014988890400,-2395.9458110009600,-2395.8924978535900,-2395.7779986904300,-2395.6912624187300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy as a Function of Theta for different Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angle Theta in Degrees,0,1,10,20,30,40,50,60,70,80,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Phi = 90 Degrees  (Hartree),-2396.120956938150,-2396.1210053251000,-2396.1209919945100,-2396.1209518244100,-2396.1208963787900,-2396.1208524369300,-2396.1208524369300,-2396.1208284105100,-2396.1207969377500,-2396.1207499478100,-2396.1207188261300,-2396.1207595815500,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Phi = 45 Degrees  (Hartree),,,-2396.1209917819500,-2396.1209548088900,-2396.1209109220000,-2396.1208783917500,-2396.1208557790400,-2396.1208287631700,-2396.1207941665700,-2396.1207576638200,-2396.1207306435500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Phi = 15 Degrees  (Hartree),,,-2396.1209920490100,-2396.1209532389200,-2396.1209025292600,-2396.1208636480400,-2396.1208403619900,-2396.1208112916100,-2396.1207717020200,-2396.1207405400800,-2396.1207343069700,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy as Function of Theta for different Offsets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theta,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,87,88,89,90,100,110,120,130,140,150,160,170,,,,,,,,
y-axis 0.2,-2396.1197075199700,-2396.1196916115500,-2396.1196511065100,-2396.1196074020600,-2396.1195791644400,-2396.1195654642900,-2396.1195570090300,-2396.1195479125700,-2396.1195386971000,-2396.1195324841900,-2396.1195324841900,-2396.1195287508700,-2396.1195080262200,-2396.1194880802300,-2396.1194624316500,-2396.1194317185800,-2396.1194042146800,-2396.1193665947800,-2396.1193896887800,-2396.1194100157300,-2396.1194262705700,-2396.1194323265300,-2396.1194042144100,-2396.1194624317200,-2396.1195080258600,-2396.1195287510700,-2396.1195386974800,-2396.1195570092800,-2396.1195791647100,-2396.1196511066800,,,,,,,,
x-axis 0.2,-2396.1194623477100,,-2396.1196175955300,,-2396.1194623477100,,-2396.1193085555900,,-2396.1191107206600,,-2396.1189060321000,,-2396.1187065852500,,-2396.1185166626700,,-2396.1183486256400,,,,,-2396.1183329537700,-2396.1183486257100,-2396.1185166628100,-2396.1187065849200,-2396.1189060322700,-2396.1191107202600,-2396.1193085558100,-2396.1194623476200,-2396.1196175956700,,,,,,,,
z-axis 0.2,-2396.1187322790400,,-2396.1187186517000,,-2396.1187093139100,,-2396.1188022429300,,-2396.1189476594100,,-2396.0745638329600,,-2396.0978088471700,,-2396.1081738203300,,-2396.1206991122000,,,,,-2396.1194794380700,-2396.1194048434000,-2396.1193572856300,-2396.1192504845900,-2396.1191038617600,-2396.1189476590400,-2396.1188022428300,-2396.1187093138700,-2396.1187186513200,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
